"Name","Street_add","Locality","Xcoord","Ycoord","uuid"
"Ardkeen Stores","Waterford","Waterford City","-7.081314","52.247602","67"
"Cunninghams Londis PLUS","Abbey St Ballyhaunis","Co. Mayo","-8.7645957","53.7628378","10"
"Eurospar","Ballymun Rd","Ballymun","-6.2651986","53.3853859","53"
"Eurospar","Castlecomer","Co. Kilkenny","-7.2160046","52.8066151","33"
"Eurospar","Dalkey","Co. Dublin","-6.1058436","53.2779106","56"
"Eurospar","Dungarvan","Co. Waterford","-7.6168652","52.0931797","11"
"Eurospar","Hartstown","Dublin 15","-6.4196327","53.3927633","52"
"Eurospar","Killiney","Co. Dublin","-6.1357857","53.2674631","50"
"Eurospar","Northern Cross","Malahide","-6.1807359","53.4041779","55"
"Eurospar","Rush","Co. Dublin","-6.0962145","53.5225813","45"
"Joyces","Athenry","Co. Galway","-8.7527628","53.2958468","20"
"Joyces","Headford","Co. Galway","-9.1073876","53.4683067","29"
"Londis Carrolls","Main St.","Kiltimagh","-8.9981809","53.851486","8"
"Londis ","Kilcolgan","Co. Galway","-8.8805411","53.2280473","70"
"Hughes Londis PLUS","Ballygar Rd","Mountbellew","-8.4971182","53.4738523","28"
"Marshalls","Mullingar","Co. Westmeath","-7.3490711","53.529513","37"
"McCambridges","38-39 Shop Street","Galway","-9.052345939","53.273043","51"
"Spar","Laghely","Co Donegal","-8.1306298","55.1236569","16"
"Blarney Woollen Mills","Blarney","Co. Cork","-8.5662105","51.9333256","38"
"Gallarus Oratory","Dingle","Co Kerry","-10.3493419","52.1727272","39"
"Griffens Garden Centre","Dripsey","Co. Cork","-8.7420906","51.9143772","58"
"The Hunt Museum","The Custom House","Rutland Street","-8.6245089","52.6661442","247"
"Jam Restaurant","Kenmare","Co. Kerry","-9.58367256","51.8796022","72"
"Mike Twomey Butchers","Bantry","Co. Cork","-8.9536534","51.9042379","23"
"The Pantry Café","Nenagh","Co. Tipperary","-8.1981343","52.8630593","79"
"The Pavillion Garden Centre","Ballygarvan","Co. Cork","-8.4882163","51.8282206","59"
"Twomey Butchers","Macroom","Co. Cork","-8.9536534","51.9042379","86"
